"","Code","Gender","age_months","Alter_Jahre","setting","fb1","fb2"
"1","01PK46","m",46,"3-year-olds","in_person",0,1
"2","02JK54","f",54,"4-year-olds","in_person",1,1
"3","03CM52","f",52,"4-year-olds","in_person",1,1
"4","04LM56","m",56,"4-year-olds","in_person",1,1
"5","05JK39","m",39,"3-year-olds","in_person",0,0
"6","06AH42","m",42,"3-year-olds","in_person",1,1
"7","07HF55","m",55,"4-year-olds","in_person",1,1
"8","08SJ41","m",41,"3-year-olds","in_person",1,1
"9","09LA55","m",55,"4-year-olds","in_person",1,1
"10","10TF58","m",58,"4-year-olds","in_person",1,1
"11","11MG51","f",51,"4-year-olds","in_person",1,1
"12","12MJ44","f",44,"3-year-olds","in_person",1,1
"13","13MR42","f",42,"3-year-olds","in_person",1,1
"14","14JH57","f",57,"4-year-olds","in_person",1,1
"15","15MK54","f",54,"4-year-olds","in_person",1,0
"16","16JL46","f",46,"3-year-olds","in_person",1,1
"17","17MK43","f",43,"3-year-olds","in_person",1,1
"18","18ML37","f",37,"3-year-olds","in_person",0,0
"19","19MK53","f",53,"4-year-olds","in_person",0,0
"20","20AV48","f",48,"4-year-olds","in_person",1,1
"21","21KB57","m",57,"4-year-olds","in_person",1,1
"22","22CH50","f",50,"4-year-olds","in_person",1,1
"23","23EM38","m",38,"3-year-olds","in_person",0,0
"24","24MM55","f",55,"4-year-olds","in_person",1,1
"25","25JS43","f",43,"3-year-olds","in_person",1,1
"26","26IR41","f",41,"3-year-olds","in_person",0,0
"27","27JM42","m",42,"3-year-olds","in_person",0,0
"28","28AP43","f",43,"3-year-olds","in_person",1,1
"29","29PS39","m",39,"3-year-olds","in_person",0,0
"30","30JA42","m",42,"3-year-olds","in_person",1,1
"31","31OK38","m",38,"3-year-olds","in_person",1,0
"32","32JS40","m",40,"3-year-olds","in_person",1,1
"33","34MT37","m",37,"3-year-olds","in_person",0,0
"34","35RS42","m",42,"3-year-olds","in_person",1,0
"35","36MW41","m",41,"3-year-olds","in_person",1,1
"36","37EL38","f",38,"3-year-olds","in_person",0,0
"37","38EV41","f",41,"3-year-olds","in_person",0,0
"38","39FH38","m",38,"3-year-olds","in_person",0,0
"39","40GM41","f",41,"3-year-olds","in_person",0,0
"40","41KS38","m",38,"3-year-olds","in_person",1,1
"41","42TB42","f",42,"3-year-olds","in_person",0,1
"42","43JM38","m",38,"3-year-olds","in_person",0,0
"43","44AW37","f",37,"3-year-olds","in_person",1,0
"44","45PB39","f",39,"3-year-olds","in_person",1,1
"45","46RK37","m",37,"3-year-olds","in_person",0,0
"46","47TF38","f",38,"3-year-olds","in_person",1,1
"47","48NW40","f",40,"3-year-olds","in_person",1,1
"48","49BS41","m",41,"3-year-olds","in_person",1,1
"49","20M46","m",46,"3-year-olds","online",0,0
"50","21F41","f",41,"3-year-olds","online",1,1
"51","23M42","m",42,"3-year-olds","online",0,0
"52","24M47","m",47,"3-year-olds","online",0,1
"53","25M50","m",50,"4-year-olds","online",1,1
"54","26F42","f",42,"3-year-olds","online",1,1
"55","27M39","m",39,"3-year-olds","online",1,1
"56","28M49","m",49,"4-year-olds","online",1,1
"57","29F40","f",40,"3-year-olds","online",0,0
"58","31F42","f",42,"3-year-olds","online",1,1
"59","32M40","m",40,"3-year-olds","online",1,1
"60","33M37","m",37,"3-year-olds","online",0,0
"61","34M51","m",51,"4-year-olds","online",1,1
"62","35F39","f",39,"3-year-olds","online",0,1
"63","36M48","m",48,"4-year-olds","online",0,0
"64","37F45","f",45,"3-year-olds","online",0,1
"65","38M49","m",49,"4-year-olds","online",0,1
"66","39M44","m",44,"3-year-olds","online",1,1
"67","40M45","m",45,"3-year-olds","online",1,1
"68","41F37","f",37,"3-year-olds","online",0,0
"69","42M46","m",46,"3-year-olds","online",1,0
"70","43M44","m",44,"3-year-olds","online",1,1
"71","44F49","f",49,"4-year-olds","online",1,1
"72","45M44","m",44,"3-year-olds","online",0,0
"73","46F43","f",43,"3-year-olds","online",1,1
"74","47F52","f",52,"4-year-olds","online",0,0
"75","48F38","f",38,"3-year-olds","online",0,0
"76","49M50","m",50,"4-year-olds","online",1,1
"77","50F39","f",39,"3-year-olds","online",1,0
"78","51M37","m",37,"3-year-olds","online",1,0
"79","53F37","f",37,"3-year-olds","online",0,0
"80","54M45","m",45,"3-year-olds","online",1,1
"81","55M36","m",36,"3-year-olds","online",0,0
"82","56F44","f",44,"3-year-olds","online",1,1
"83","58F46","f",46,"3-year-olds","online",1,0
"84","59F39","f",39,"3-year-olds","online",1,1
"85","60M51","m",51,"4-year-olds","online",1,1
"86","61M38","m",38,"3-year-olds","online",0,0
"87","62M50","m",50,"4-year-olds","online",1,1
"88","63M37","m",37,"3-year-olds","online",0,1
"89","64F39","f",39,"3-year-olds","online",1,1
"90","65F36","f",36,"3-year-olds","online",0,0
"91","66F42","f",42,"3-year-olds","online",0,0
"92","67M39","m",39,"3-year-olds","online",0,0
"93","69M38","m",38,"3-year-olds","online",0,0
"94","70F37","f",37,"3-year-olds","online",1,0
"95","71M38","m",38,"3-year-olds","online",0,0
"96","72F49","f",49,"4-year-olds","online",1,1
"97","73F49","f",49,"4-year-olds","online",1,1
"98","74F50","f",50,"4-year-olds","online",1,1
"99","76M39","m",39,"3-year-olds","online",0,0
"100","77F53","f",53,"4-year-olds","online",0,0
"101","78M47","m",47,"3-year-olds","online",1,1
"102","79M40","m",40,"3-year-olds","online",0,0
"103","80F46","f",46,"3-year-olds","online",0,0
"104","81M49","m",49,"4-year-olds","online",0,0
"105","82F52","f",52,"4-year-olds","online",1,1
"106","83F49","f",49,"4-year-olds","online",0,0
"107","84F49","f",49,"4-year-olds","online",1,1
"108","85M52","m",52,"4-year-olds","online",1,1
"109","86M48","m",48,"4-year-olds","online",1,1
"110","87F53","f",53,"4-year-olds","online",1,1
"111","89F48","f",48,"4-year-olds","online",1,1
"112","90F50","f",50,"4-year-olds","online",0,0
